Id,Latitude,Longitude,Region by Zipcode,Zipcode
2265,30.2775,-97.71398,East,78702
5245,30.27577,-97.71379,East,78702
5456,30.26112,-97.73448,East,78702
5769,30.45596,-97.7837,North Suburbs,78729
6413,30.24829,-97.73726,South Central,78704
6448,30.26027,-97.76503,South Central,78704
8502,30.23616,-97.73682,South East,78741
14765,30.25012,-97.74193,South Central,78704
14913,30.15645,-97.82411,South,78748
21126,30.24503,-97.74075,South Central,78704
21145,30.29422,-97.74618,Central,78705
22166,30.38957,-97.76216,North Suburbs,78759
22828,30.23564,-97.73146,South East,78741
22982,30.28027,-97.75596,Central,78703
25028,30.33766,-97.73726,Central,78757
32396,30.20273,-97.84439,South,78749
37324,30.4303,-97.69125,North Suburbs,78727
39152,30.25671,-97.75412,South Central,78704
39993,30.29996,-97.77832,Central,78703
40285,30.35141,-97.76323,West,78731
46929,30.30038,-97.77886,Central,78703
47572,30.37641,-97.70926,North,78758
50310,30.20093,-97.75318,South East,78744
50318,30.28625,-97.75022,Central,78705
51100,30.28188,-97.76413,Central,78703
53639,30.29277,-97.72449,Central,78705
56690,30.2444,-97.75121,South Central,78704
57187,30.25596,-97.76866,South Central,78704
68130,30.31171,-97.72455,Central,78751
69303,30.2607,-97.77194,South Central,78704
69352,30.25775,-97.76354,South Central,78704
69810,30.23152,-97.76434,South Central,78704
70258,30.23616,-97.76446,South Central,78704
70659,30.2912,-97.71956,East,78722
70812,30.24501,-97.74986,South Central,78704
72318,30.2532,-97.77891,South Central,78704
72633,30.24604,-97.75329,South Central,78704
72706,30.24775,-97.76403,South Central,78704
72833,30.31383,-97.75161,West,78731
72876,30.44794,-97.76082,North Suburbs,78729
73005,30.41519,-97.73019,North Suburbs,78727
73289,30.28985,-97.7451,Central,78705
73898,30.20857,-97.85673,South,78749
74318,30.24422,-97.77885,South Central,78704
75174,30.24773,-97.72584,South East,78741
75957,30.29187,-97.76824,Central,78703
76497,30.27577,-97.75608,Central,78703
76501,30.29138,-97.71907,East,78722
76911,30.26775,-97.72695,East,78702
76996,30.23778,-97.74453,South Central,78704
77347,30.33937,-97.88116,West,78733
77635,30.25177,-97.77888,South Central,78704
77639,30.25003,-97.77859,South Central,78704
77998,30.25923,-97.66815,Far East,78725
78035,30.25625,-97.76766,South Central,78704
78127,30.2752,-97.74863,Central,78701
78422,30.27324,-97.71173,East,78721
