host_is_superhost,host_response_time,host_response_rate,host_listings_count,host_has_profile_pic,host_identity_verified,zipcode,latitude,longitude,is_location_exact,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,guests_included,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,number_of_reviews,number_of_reviews_ltm,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,cancellation_policy,require_guest_profile_picture,require_guest_phone_verification,calculated_host_listings_count,calculated_host_listings_count_entire_homes,calculated_host_listings_count_private_rooms,calculated_host_listings_count_shared_rooms,reviews_per_month,total_hosting_years,region_by_zipcode
1,within a few hours,1.0,3.0,1,1,78702,30.2775,-97.71398,0,House,Entire home/apt,4,2.0,2.0,2.0,Real Bed,225.0,0.0,0.0,500.0,100.0,4,30.0,30,90,0,0,0,0,24,1,93.0,9.0,10.0,10.0,10.0,8.0,9.0,0,strict_14_with_grace_period,0,0,3,2,1,0,0.19,11,East
1,within a few hours,1.0,3.0,1,1,78702,30.27577,-97.71379,1,House,Private room,2,1.0,1.0,2.0,Real Bed,100.0,0.0,0.0,500.0,75.0,2,35.0,30,60,11,11,11,11,9,0,91.0,10.0,8.0,10.0,9.0,10.0,9.0,0,strict_14_with_grace_period,0,0,3,2,1,0,0.07,11,East
1,within an hour,1.0,1.0,1,1,78702,30.261120000000002,-97.73448,1,Guesthouse,Entire home/apt,3,1.0,1.0,2.0,Real Bed,95.0,0.0,0.0,100.0,0.0,2,45.0,2,90,2,11,35,291,499,46,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0,1,1,1,0,0,3.89,10,East
1,within an hour,1.0,2.0,1,1,78702,30.247729999999997,-97.72584,1,Condominium,Entire home/apt,3,1.0,1.0,1.0,Real Bed,130.0,800.0,1750.0,0.0,0.0,2,15.0,2,120,7,13,37,234,249,31,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,1,1,2,2,0,0,2.4,8,East
1,within an hour,1.0,1.0,1,1,78702,30.26775,-97.72695,1,House,Entire home/apt,10,3.0,5.0,12.0,Real Bed,821.0,4000.0,12000.0,0.0,200.0,10,75.0,2,30,13,22,39,309,126,35,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,0,0,1,1,0,0,2.33,8,East
0,within a day,0.5,1.0,1,0,78702,30.27324,-97.71173,1,House,Private room,2,1.0,1.0,2.0,Real Bed,50.0,0.0,0.0,0.0,0.0,1,0.0,1,10,0,15,45,45,1,0,60.0,10.0,8.0,10.0,10.0,6.0,8.0,0,moderate,0,0,1,0,1,0,0.01,8,East
1,within an hour,1.0,3.0,1,0,78702,30.26278,-97.73529,1,House,Entire home/apt,6,2.0,2.0,2.0,Real Bed,176.0,0.0,0.0,500.0,110.0,4,35.0,2,300,12,17,18,112,111,37,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,1,3,3,0,0,1.24,8,East
1,within a few hours,1.0,1.0,1,1,78702,30.269840000000002,-97.72874,1,House,Private room,2,1.0,1.0,1.0,Real Bed,85.0,0.0,0.0,300.0,0.0,2,0.0,2,14,12,18,44,75,166,51,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0,0,1,0,1,0,1.82,8,East
1,unknown,0.0,2.0,1,1,78702,30.260709999999996,-97.73258,1,Bungalow,Entire home/apt,4,1.0,2.0,3.0,Real Bed,225.0,1350.0,3950.0,0.0,100.0,4,100.0,4,30,0,0,0,0,34,1,94.0,9.0,9.0,10.0,10.0,9.0,9.0,1,strict_14_with_grace_period,0,0,2,2,0,0,0.35,8,East
1,within an hour,1.0,1.0,1,1,78702,30.25582,-97.72709,1,Guesthouse,Entire home/apt,3,1.0,0.0,1.0,Real Bed,111.0,0.0,0.0,0.0,0.0,2,10.0,1,5,1,12,39,121,414,67,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,flexible,0,0,1,1,0,0,4.24,8,East
1,within an hour,1.0,1.0,1,1,78702,30.2635,-97.70097,1,House,Entire home/apt,9,1.0,3.0,3.0,Real Bed,184.0,1600.0,0.0,0.0,100.0,3,30.0,2,30,26,52,82,102,71,25,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,0,0,1,1,0,0,1.06,8,East
0,within an hour,1.0,4.0,1,1,78702,30.25409,-97.72565999999999,1,House,Entire home/apt,8,2.0,3.0,4.0,Real Bed,450.0,0.0,3500.0,200.0,45.0,6,25.0,1,15,10,12,12,12,39,18,96.0,9.0,9.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0,0,4,3,1,0,0.4,8,East
0,within an hour,1.0,4.0,1,1,78702,30.25426,-97.72431,1,Guesthouse,Entire home/apt,2,1.0,1.0,1.0,Futon,81.0,0.0,0.0,100.0,18.0,1,0.0,1,365,0,0,0,0,330,110,91.0,10.0,9.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,0,0,4,3,1,0,3.58,8,East
1,within an hour,1.0,1.0,1,1,78702,30.27917,-97.71564000000001,1,Guesthouse,Entire home/apt,4,1.0,1.0,2.0,Real Bed,90.0,0.0,2150.0,150.0,40.0,2,20.0,1,365,13,33,55,225,579,99,98.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0,0,1,1,0,0,6.02,8,East
1,within an hour,1.0,2.0,1,0,78702,30.254340000000003,-97.72825,1,House,Entire home/apt,4,1.0,2.0,2.0,Real Bed,375.0,0.0,0.0,500.0,65.0,1,0.0,2,90,9,15,15,15,21,5,97.0,10.0,9.0,10.0,10.0,9.0,9.0,1,moderate,1,1,2,2,0,0,0.23,8,East
1,within an hour,1.0,1.0,1,1,78702,30.28091,-97.70809,1,House,Entire home/apt,10,2.5,3.0,3.0,Real Bed,350.0,0.0,4500.0,500.0,90.0,1,0.0,3,1125,22,52,82,349,33,11,97.0,10.0,10.0,10.0,10.0,9.0,10.0,0,moderate,0,0,1,1,0,0,0.36,8,East
1,within an hour,1.0,2.0,1,1,78702,30.25518,-97.73289,1,House,Entire home/apt,10,3.0,4.0,5.0,Real Bed,525.0,0.0,0.0,500.0,200.0,8,25.0,4,7,6,6,14,28,9,1,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,1,1,2,1,1,0,0.11,9,East
0,unknown,0.0,1.0,1,1,78702,30.267640000000004,-97.70976,1,House,Entire home/apt,6,1.0,2.0,2.0,Real Bed,250.0,1800.0,4500.0,0.0,85.0,4,25.0,2,1123,30,60,90,365,37,6,92.0,9.0,9.0,10.0,10.0,9.0,9.0,0,moderate,0,0,1,1,0,0,0.4,7,East
1,within an hour,1.0,12.0,1,0,78702,30.2648,-97.73428,1,Townhouse,Entire home/apt,16,3.5,3.0,10.0,Real Bed,200.0,0.0,0.0,0.0,200.0,5,25.0,2,365,6,21,49,314,205,28,98.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,0,0,12,5,0,0,2.24,8,East
0,unknown,0.0,1.0,1,0,78702,30.255359999999996,-97.72855,1,House,Entire home/apt,5,1.0,2.0,3.0,Real Bed,650.0,5500.0,0.0,500.0,50.0,1,0.0,4,11,0,0,0,0,2,0,90.0,9.0,7.0,9.0,10.0,8.0,8.0,0,strict_14_with_grace_period,0,0,1,1,0,0,0.03,7,East
1,within an hour,1.0,6.0,1,1,78702,30.277520000000003,-97.71919,1,Guesthouse,Entire home/apt,3,1.0,1.0,1.0,Real Bed,95.0,0.0,0.0,200.0,30.0,2,25.0,1,1125,18,38,68,158,403,57,97.0,10.0,10.0,10.0,10.0,10.0,9.0,0,strict_14_with_grace_period,0,0,2,2,0,0,4.37,7,East
1,within an hour,0.98,9.0,1,1,78702,30.27235,-97.72514,1,House,Private room,2,1.0,1.0,1.0,Real Bed,75.0,0.0,0.0,0.0,15.0,2,25.0,2,90,0,0,0,0,435,29,97.0,10.0,10.0,10.0,10.0,10.0,10.0,1,moderate,0,0,10,5,5,0,4.76,8,East
1,within an hour,1.0,1.0,1,1,78702,30.27508,-97.72995,1,House,Private room,2,1.0,1.0,2.0,Real Bed,65.0,450.0,1200.0,0.0,15.0,1,10.0,1,160,0,0,10,165,137,33,96.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,1,1,1,0,1,0,1.5,7,East
1,within an hour,1.0,1.0,1,1,78702,30.256,-97.72595,1,House,Entire home/apt,8,1.5,3.0,3.0,Real Bed,200.0,0.0,3000.0,200.0,75.0,4,25.0,2,30,13,20,41,131,163,32,98.0,10.0,10.0,10.0,10.0,10.0,10.0,1,strict_14_with_grace_period,0,1,1,1,0,0,1.78,7,East
1,within an hour,1.0,1.0,1,1,78702,30.273740000000004,-97.71887,1,Condominium,Private room,2,1.0,1.0,1.0,Real Bed,67.0,475.0,975.0,0.0,20.0,1,20.0,2,90,4,6,6,205,62,13,98.0,10.0,10.0,10.0,10.0,9.0,10.0,1,moderate,1,0,1,0,1,0,0.68,8,East
0,unknown,0.0,1.0,1,1,78702,30.26496,-97.71495999999999,1,House,Entire home/apt,10,2.0,4.0,6.0,Real Bed,750.0,0.0,0.0,0.0,0.0,2,0.0,1,12,0,0,0,0,125,2,94.0,9.0,9.0,10.0,10.0,9.0,9.0,0,strict_14_with_grace_period,0,0,1,1,0,0,1.36,8,East
0,unknown,0.0,1.0,1,0,78702,30.2582,-97.72019,1,House,Entire home/apt,3,0.0,2.0,1.0,Real Bed,400.0,0.0,0.0,0.0,0.0,1,0.0,3,5,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,strict_14_with_grace_period,0,0,1,1,0,0,0.0,7,East
0,within a few hours,1.0,1.0,1,1,78702,30.274520000000003,-97.72249000000001,1,Apartment,Entire home/apt,2,1.0,0.0,1.0,Real Bed,32.0,0.0,900.0,0.0,95.0,1,0.0,30,1125,0,0,0,47,19,3,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0,0,1,1,0,0,0.21,7,East
1,within a day,1.0,1.0,1,1,78702,30.26659,-97.73298,1,Loft,Entire home/apt,4,2.0,2.0,2.0,Real Bed,149.0,0.0,3599.0,500.0,50.0,4,20.0,3,60,2,6,20,65,429,71,99.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0,1,1,1,0,0,4.67,8,East
1,within an hour,1.0,5.0,1,1,78702,30.27875,-97.72359,1,House,Entire home/apt,4,1.0,1.0,1.0,Real Bed,125.0,0.0,0.0,195.0,60.0,2,15.0,1,1124,7,22,49,314,506,119,97.0,10.0,10.0,10.0,10.0,10.0,9.0,1,strict_14_with_grace_period,0,0,5,5,0,0,5.54,7,East
0,unknown,0.0,1.0,1,1,78702,30.25859,-97.72983,1,House,Entire home/apt,4,2.5,3.0,3.0,Real Bed,908.0,0.0,0.0,0.0,100.0,4,0.0,3,1125,0,0,0,0,5,0,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,strict_14_with_grace_period,0,0,1,1,0,0,0.06,7,East
0,within a few hours,1.0,1.0,1,1,78702,30.251759999999997,-97.7227,1,House,Private room,2,1.5,1.0,1.0,Real Bed,75.0,400.0,1200.0,0.0,25.0,1,0.0,1,40,0,0,0,0,86,25,100.0,10.0,10.0,10.0,10.0,10.0,10.0,0,moderate,0,0,1,0,1,0,0.94,7,East
1,within an hour,1.0,2.0,1,1,78702,30.257590000000004,-97.71779000000001,1,House,Entire home/apt,4,1.0,1.0,3.0,Real Bed,110.0,0.0,0.0,0.0,100.0,1,0.0,2,90,14,29,59,155,53,30,99.0,10.0,10.0,10.0,10.0,10.0,10.0,1,flexible,0,0,2,2,0,0,1.73,7,East
