listing_id,vote_sentiment_positive_count,vote_sentiment_negative_count,vote_sentiment_positive_percent,vote_sentiment_positivity,high_conf_sentiment_positive_count,high_conf_sentiment_negative_count,high_conf_sentiment_positive_percent,high_conf_sentiment_positivity,long_conf_sentiment_positive_count,long_conf_sentiment_negative_count,long_conf_sentiment_positive_percent,long_conf_sentiment_positivity,classified_sentiment_positive_count,classified_sentiment_negative_count,classified_sentiment_positive_percent,classified_sentiment_positivity,latitude,longitude,review_scores_rating,host_name,listing_url,name,accommodates,price,property_type,room_type,number_of_reviews,minimum_nights,maximum_nights,
32396,8,,1,1,7,1,0.875,1,4,4,0.5,0,7,1,0.875,1,30.2027,-97.8444,97,Tiffany,https://www.airbnb.com/rooms/32396,South Austin Comfort,6,55,House,Entire home/apt,9,1,7,
69352,227,162,0.583547558,0,320,68,0.824742268,1,267,122,0.686375321,0,296,92,0.762886598,1,30.2577,-97.7635,95,Particular Properties,https://www.airbnb.com/rooms/69352,Enchanting Zilker Cottage~Downtown,2,159,House,Entire home/apt,390,2,45,
145210,106,76,0.582417582,0,154,28,0.846153846,1,142,40,0.78021978,1,155,27,0.851648352,1,30.3022,-97.7414,98,Dan,https://www.airbnb.com/rooms/145210,Maiden Lane Guesthouse,2,129,Guesthouse,Entire home/apt,182,3,365,
300574,193,111,0.634868421,0,263,41,0.865131579,1,222,82,0.730263158,1,242,61,0.798679868,1,30.2572,-97.7556,97,Veronica,https://www.airbnb.com/rooms/300574,Hip Retro Groovy LOFT South Austin Style,4,124,Guesthouse,Entire home/apt,307,2,222,
364121,1,,1,1,1,,1,1,,1,0,0,1,,1,1,30.3941,-97.9191,100,Bruce,https://www.airbnb.com/rooms/364121,Private romantic getaway 150' above Lake Travis,2,210,Bed and breakfast,Hotel room,1,2,7,
681118,5,5,0.5,0,7,3,0.7,0,5,5,0.5,0,6,4,0.6,0,30.2498,-97.7216,98,Jules & Lance,https://www.airbnb.com/rooms/681118,East-Central Craftsman on Hike & Bike Trail,10,1200,House,Entire home/apt,10,3,14,
953608,3,1,0.75,1,4,,1,1,1,3,0.25,0,2,2,0.5,0,30.1595,-97.8454,100,Patricia,https://www.airbnb.com/rooms/953608,Nice house in great south neighborh,8,150,House,Entire home/apt,4,5,7,
969258,1,,1,1,1,,1,1,1,,1,1,1,,1,1,30.2536,-97.7784,100,Daris And Tom,https://www.airbnb.com/rooms/969258,Barton Hills Abode 2/2,6,349,House,Entire home/apt,1,4,1125,
4334621,7,5,0.583333333,0,11,1,0.916666667,1,8,4,0.666666667,0,10,2,0.833333333,1,30.2629,-97.7637,93,Valentina,https://www.airbnb.com/rooms/4334621,House on Cliff ~ 3 minutes from ACL entrance,4,120,House,Entire home/apt,13,3,1125,
4516994,7,1,0.875,1,7,1,0.875,1,3,5,0.375,0,5,3,0.625,0,30.2377,-97.7574,73,Jes,https://www.airbnb.com/rooms/4516994,5 MIN FROM ZILKER Huge 1BR SOCO Luxury FOR SXSW,5,170,Apartment,Entire home/apt,10,2,1125,
