zipcode,unigram_top10,bigram_top10,unigram_dict,bigram_dict
78736,"[('time', 265), ('back', 230), ('quiet', 221), ('loved', 203), ('wonderful', 198), ('john', 193), ('casita', 192), ('meum', 189), ('andrea', 187), ('area', 181)]","[('john_vivien', 100), ('hill_country', 82), ('british_museum', 67), ('hot_tub', 55), ('come_back', 51), ('dripping_springs', 44), ('downtown_austin', 43), ('robby_beth', 42), ('felt_like', 40), ('beautiful_home', 39)]","{'78736': {'unigram_words': ['time', 'back', 'quiet', 'loved', 'wonderful', 'john', 'casita', 'meum', 'andrea', 'area'], 'unigram_count': [265, 230, 221, 203, 198, 193, 192, 189, 187, 181]}}","{'78736': {'bigram_words': ['john_vivien', 'hill_country', 'british_museum', 'hot_tub', 'come_back', 'dripping_springs', 'downtown_austin', 'robby_beth', 'felt_like', 'beautiful_home'], 'bigram_count': [100, 82, 67, 55, 51, 44, 43, 42, 40, 39]}}"
78705,"[('easy', 1606), ('close', 1578), ('good', 1476), ('time', 1256), ('downtown', 1198), ('terry', 1170), ('ut', 1166), ('camp', 1146), ('really', 1133), ('well', 1116)]","[('ut_campus', 338), ('quick_respond', 281), ('good_location', 278), ('enjoyed_stay', 269), ('place_perfect', 263), ('close_everything', 234), ('great_value', 215), ('close_ut', 209), ('perfect_location', 200), ('come_back', 196)]","{'78705': {'unigram_words': ['easy', 'close', 'good', 'time', 'downtown', 'terry', 'ut', 'camp', 'really', 'well'], 'unigram_count': [1606, 1578, 1476, 1256, 1198, 1170, 1166, 1146, 1133, 1116]}}","{'78705': {'bigram_words': ['ut_campus', 'quick_respond', 'good_location', 'enjoyed_stay', 'place_perfect', 'close_everything', 'great_value', 'close_ut', 'perfect_location', 'come_back'], 'bigram_count': [338, 281, 278, 269, 263, 234, 215, 209, 200, 196]}}"
78752,"[('chalu', 529), ('easy', 434), ('time', 431), ('ing', 403), ('downtown', 402), ('quiet', 371), ('neighborhood', 369), ('really', 355), ('super', 344), ('well', 328)]","[('quiet_neighborhood', 104), ('enjoyed_stay', 97), ('downtown_austin', 81), ('great_time', 79), ('come_back', 67), ('close_downtown', 67), ('quick_respond', 67), ('outdoor_shower', 66), ('chalu_great', 61), ('next_time', 58)]","{'78752': {'unigram_words': ['chalu', 'easy', 'time', 'ing', 'downtown', 'quiet', 'neighborhood', 'really', 'super', 'well'], 'unigram_count': [529, 434, 431, 403, 402, 371, 369, 355, 344, 328]}}","{'78752': {'bigram_words': ['quiet_neighborhood', 'enjoyed_stay', 'downtown_austin', 'great_time', 'come_back', 'close_downtown', 'quick_respond', 'outdoor_shower', 'chalu_great', 'next_time'], 'bigram_count': [104, 97, 81, 79, 67, 67, 67, 66, 61, 58]}}"
78734,"[('lake', 1509), ('time', 784), ('back', 689), ('view', 641), ('area', 616), ('loved', 570), ('quiet', 559), ('travis', 551), ('weekend', 550), ('boat', 531)]","[('lake_travis', 536), ('great_time', 185), ('enjoyed_stay', 162), ('come_back', 154), ('jim_deb', 146), ('beautiful_home', 136), ('get_away', 119), ('really_enjoyed', 118), ('view_lake', 116), ('quick_respond', 115)]","{'78734': {'unigram_words': ['lake', 'time', 'back', 'view', 'area', 'loved', 'quiet', 'travis', 'weekend', 'boat'], 'unigram_count': [1509, 784, 689, 641, 616, 570, 559, 551, 550, 531]}}","{'78734': {'bigram_words': ['lake_travis', 'great_time', 'enjoyed_stay', 'come_back', 'jim_deb', 'beautiful_home', 'get_away', 'really_enjoyed', 'view_lake', 'quick_respond'], 'bigram_count': [536, 185, 162, 154, 146, 136, 119, 118, 116, 115]}}"
78729,"[('quiet', 332), ('ing', 276), ('time', 266), ('neighborhood', 263), ('good', 242), ('easy', 238), ('really', 233), ('elizabeth', 233), ('ed', 222), ('well', 209)]","[('enjoyed_stay', 82), ('quiet_neighborhood', 78), ('diana_paul', 77), ('elizabeth_david', 76), (""caleb's_place"", 55), ('recommend_anyone', 50), ('great_value', 50), ('first_time', 44), ('come_back', 41), ('like_home', 40)]","{'78729': {'unigram_words': ['quiet', 'ing', 'time', 'neighborhood', 'good', 'easy', 'really', 'elizabeth', 'ed', 'well'], 'unigram_count': [332, 276, 266, 263, 242, 238, 233, 233, 222, 209]}}","{'78729': {'bigram_words': ['enjoyed_stay', 'quiet_neighborhood', 'diana_paul', 'elizabeth_david', ""caleb's_place"", 'recommend_anyone', 'great_value', 'first_time', 'come_back', 'like_home'], 'bigram_count': [82, 78, 77, 76, 55, 50, 50, 44, 41, 40]}}"
78739,"[('pool', 110), ('quiet', 81), ('karen', 78), ('time', 70), ('wonderful', 61), ('downtown', 57), ('family', 56), ('neighborhood', 55), ('made', 54), ('area', 53)]","[('beautiful_home', 26), ('hot_tub', 19), ('downtown_austin', 18), ('quick_respond', 17), ('great_time', 15), ('made_sure', 15), ('close_everything', 14), ('quiet_neighborhood', 14), ('really_enjoyed', 12), ('felt_like', 11)]","{'78739': {'unigram_words': ['pool', 'quiet', 'karen', 'time', 'wonderful', 'downtown', 'family', 'neighborhood', 'made', 'area'], 'unigram_count': [110, 81, 78, 70, 61, 57, 56, 55, 54, 53]}}","{'78739': {'bigram_words': ['beautiful_home', 'hot_tub', 'downtown_austin', 'quick_respond', 'great_time', 'made_sure', 'close_everything', 'quiet_neighborhood', 'really_enjoyed', 'felt_like'], 'bigram_count': [26, 19, 18, 17, 15, 15, 14, 14, 12, 11]}}"
78756,"[('neighborhood', 828), ('quiet', 760), ('easy', 718), ('close', 612), ('well', 566), ('downtown', 552), ('time', 508), ('restaurants', 507), ('loved', 500), ('super', 498)]","[('enjoyed_stay', 157), ('quiet_neighborhood', 141), ('guest_house', 123), ('come_back', 116), ('quick_respond', 110), ('place_perfect', 97), ('easy_access', 95), ('close_everything', 94), ('next_time', 94), ('everything_need', 93)]","{'78756': {'unigram_words': ['neighborhood', 'quiet', 'easy', 'close', 'well', 'downtown', 'time', 'restaurants', 'loved', 'super'], 'unigram_count': [828, 760, 718, 612, 566, 552, 508, 507, 500, 498]}}","{'78756': {'bigram_words': ['enjoyed_stay', 'quiet_neighborhood', 'guest_house', 'come_back', 'quick_respond', 'place_perfect', 'easy_access', 'close_everything', 'next_time', 'everything_need'], 'bigram_count': [157, 141, 123, 116, 110, 97, 95, 94, 94, 93]}}"
78717,"[('quiet', 96), ('super', 79), ('good', 79), ('time', 73), ('neighborhood', 69), ('friendly', 67), ('ing', 62), ('really', 55), ('experience', 55), ('family', 52)]","[('enjoyed_stay', 25), ('super_clean', 24), ('great_value', 23), ('beautiful_home', 21), ('downtown_austin', 18), ('good_location', 16), ('safe_neighborhood', 15), ('really_nice', 13), ('ed', 13), ('felt_like', 13)]","{'78717': {'unigram_words': ['quiet', 'super', 'good', 'time', 'neighborhood', 'friendly', 'ing', 'really', 'experience', 'family'], 'unigram_count': [96, 79, 79, 73, 69, 67, 62, 55, 55, 52]}}","{'78717': {'bigram_words': ['enjoyed_stay', 'super_clean', 'great_value', 'beautiful_home', 'downtown_austin', 'good_location', 'safe_neighborhood', 'really_nice', 'ed', 'felt_like'], 'bigram_count': [25, 24, 23, 21, 18, 16, 15, 13, 13, 13]}}"
78754,"[('quiet', 272), ('time', 262), ('jake', 260), ('ing', 245), ('really', 242), ('easy', 224), ('downtown', 222), ('super', 219), ('made', 219), ('friendly', 203)]","[('enjoyed_stay', 59), ('quiet_neighborhood', 53), ('downtown_austin', 51), ('next_time', 48), ('beautiful_home', 46), ('come_back', 44), ('great_experience', 41), ('super_clean', 40), ('really_enjoyed', 39), ('made_sure', 38)]","{'78754': {'unigram_words': ['quiet', 'time', 'jake', 'ing', 'really', 'easy', 'downtown', 'super', 'made', 'friendly'], 'unigram_count': [272, 262, 260, 245, 242, 224, 222, 219, 219, 203]}}","{'78754': {'bigram_words': ['enjoyed_stay', 'quiet_neighborhood', 'downtown_austin', 'next_time', 'beautiful_home', 'come_back', 'great_experience', 'super_clean', 'really_enjoyed', 'made_sure'], 'bigram_count': [59, 53, 51, 48, 46, 44, 41, 40, 39, 38]}}"
78749,"[('time', 316), ('ing', 273), ('quiet', 273), ('easy', 270), ('loved', 266), ('close', 262), ('back', 248), ('downtown', 243), ('super', 226), ('like', 220)]","[('come_back', 70), ('quiet_neighborhood', 68), ('downtown_austin', 56), ('ruthy_roger', 56), ('enjoyed_stay', 52), ('felt_like', 50), ('next_time', 50), ('quick_respond', 49), ('great_time', 48), ('easy_access', 46)]","{'78749': {'unigram_words': ['time', 'ing', 'quiet', 'easy', 'loved', 'close', 'back', 'downtown', 'super', 'like'], 'unigram_count': [316, 273, 273, 270, 266, 262, 248, 243, 226, 220]}}","{'78749': {'bigram_words': ['come_back', 'quiet_neighborhood', 'downtown_austin', 'ruthy_roger', 'enjoyed_stay', 'felt_like', 'next_time', 'quick_respond', 'great_time', 'easy_access'], 'bigram_count': [70, 68, 56, 56, 52, 50, 50, 49, 48, 46]}}"
78758,"[('easy', 633), ('nate', 631), ('super', 516), ('good', 515), ('really', 491), ('close', 469), ('domain', 463), ('quiet', 444), ('ing', 414), ('time', 396)]","[('enjoyed_stay', 128), ('super_clean', 102), ('close_domain', 98), ('great_value', 91), ('quick_respond', 90), ('everything_need', 90), ('ed', 89), ('easy_access', 89), ('tiny_house', 89), (""nate's_place"", 86)]","{'78758': {'unigram_words': ['easy', 'nate', 'super', 'good', 'really', 'close', 'domain', 'quiet', 'ing', 'time'], 'unigram_count': [633, 631, 516, 515, 491, 469, 463, 444, 414, 396]}}","{'78758': {'bigram_words': ['enjoyed_stay', 'super_clean', 'close_domain', 'great_value', 'quick_respond', 'everything_need', 'ed', 'easy_access', 'tiny_house', ""nate's_place""], 'bigram_count': [128, 102, 98, 91, 90, 90, 89, 89, 89, 86]}}"
78703,"[('downtown', 3513), ('easy', 3058), ('neighborhood', 3020), ('close', 2715), ('quiet', 2319), ('time', 2153), ('well', 2141), ('super', 2085), ('really', 2053), ('also', 1852)]","[('close_downtown', 622), ('downtown_austin', 597), ('whole_foods', 563), ('perfect_location', 507), ('enjoyed_stay', 481), ('place_perfect', 454), ('6th_street', 448), ('close_everything', 448), ('come_back', 419), ('location_perfect', 417)]","{'78703': {'unigram_words': ['downtown', 'easy', 'neighborhood', 'close', 'quiet', 'time', 'well', 'super', 'really', 'also'], 'unigram_count': [3513, 3058, 3020, 2715, 2319, 2153, 2141, 2085, 2053, 1852]}}","{'78703': {'bigram_words': ['close_downtown', 'downtown_austin', 'whole_foods', 'perfect_location', 'enjoyed_stay', 'place_perfect', '6th_street', 'close_everything', 'come_back', 'location_perfect'], 'bigram_count': [622, 597, 563, 507, 481, 454, 448, 448, 419, 417]}}"
78728,"[('quiet', 121), ('easy', 120), ('pool', 109), ('well', 108), ('ing', 103), ('needed', 103), ('time', 100), ('really', 96), ('neighborhood', 92), ('good', 90)]","[('quiet_neighborhood', 34), ('pool_table', 34), ('downtown_austin', 27), ('enjoyed_stay', 27), ('ed', 23), ('large_group', 23), ('next_time', 21), ('quick_respond', 21), ('saba_sep', 21), ('come_back', 20)]","{'78728': {'unigram_words': ['quiet', 'easy', 'pool', 'well', 'ing', 'needed', 'time', 'really', 'neighborhood', 'good'], 'unigram_count': [121, 120, 109, 108, 103, 103, 100, 96, 92, 90]}}","{'78728': {'bigram_words': ['quiet_neighborhood', 'pool_table', 'downtown_austin', 'enjoyed_stay', 'ed', 'large_group', 'next_time', 'quick_respond', 'saba_sep', 'come_back'], 'bigram_count': [34, 34, 27, 27, 23, 23, 21, 21, 21, 20]}}"
